"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"239","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"auch","ADV","auch"
"240","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"des","ART","der"
"241","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Toten","NN","tote"
"242","r0px.0",25616,2653,2687,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"243","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"O","NE","O"
"244","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"Gott","NN","gott"
"245","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"!","$.","--"
"246","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"Wie","PWAV","wie"
"247","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"soll","VMFIN","sollen"
"248","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"ein","ART","ein"
"249","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"Weib","NN","weib"
"250","r0px.0",25616,2692,2740,"Eustache, seine Gemahlin.",1,"sich","PRF","sich"
